"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Chen, L. et al. (2014)","Acute ischemic stroke","y","SO2","9-16",1.01,0.98,1.05,NA,NA,2,"ppb","Canada","America","Alberta Health Services","5 (1998-2002)",2.95,"OR","Conditional logistic regression","General","EDV","cold"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","CO","0-24",1.0077,1.0029,1.0126,NA,NA,1,"mg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","NO2","0-24",1.0208,1.0146,1.027,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","PM2.5","0-24",1.0104,1.0066,1.0141,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","SO2","0-24",1.0068,1.0033,1.0103,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","CO","0-24",1.0184,1.014,1.0228,NA,NA,1,"mg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","NO2","0-24",1.0544,1.0468,1.062,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","PM2.5","0-24",1.0178,1.0137,1.022,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","SO2","0-24",1.0088,1.0057,1.0119,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","13-24",1.0256,0.9376,1.1218,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","7-12",1.0283,0.9656,1.0987,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","2-6",1.0301,0.966,1.0985,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","1",1.045,0.9788,1.1156,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","13-24",1.0554,0.8849,1.2568,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","7-12",1.0747,0.9048,1.2764,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","2-6",1.1263,0.967,1.3104,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","1",1.072,0.9594,1.198,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","13-24",1.1146,0.8578,1.4482,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","7-12",0.8973,0.6985,1.1503,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","2-6",0.9728,0.7662,1.2363,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","1",0.8892,0.733,1.0752,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","13-24",0.9743,0.876,1.0885,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","7-12",1.0822,0.9885,1.1846,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","2-6",1.0804,0.9905,1.1784,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","1",1.0242,0.9517,1.1023,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","warm"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","13-24",1.1422,1.0281,1.2886,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","cold"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","7-12",1.0844,0.973,1.2099,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","cold"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","2-6",1.0602,0.9703,1.1585,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","cold"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","1",1.0353,0.9459,1.1331,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","cold"
