fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Cheng et al. (2021b),Pneumonia,fixed-effects,PM10,12.3,2-6,0.905,0.582,1.407,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM10,12.3,7-12,0.817,0.506,1.322,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM10,12.3,13-24,0.831,0.399,1.731,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM2.5,5.2,1,1.209,0.929,1.573,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM2.5,5.2,2-6,0.819,0.555,1.207,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM2.5,5.2,7-12,0.856,0.577,1.269,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM2.5,5.2,13-24,0.95,0.581,1.555,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,NO2,4,1,1.12,0.873,1.437,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,NO2,4,2-6,1.174,0.908,1.518,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,NO2,4,7-12,1.214,0.862,1.711,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
