"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Evans et al. (2017)","STEMI","y","BC","1",0.86,0.67,1.12,NA,NA,0.531,"μg/m3","USA","America","URMC Cardiac Catheterization Laboratory","6 (2007-2012)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Evans et al. (2017)","STEMI","y","O3","1",1.23,0.9,1.68,NA,NA,19.9,"ppb","USA","America","URMC Cardiac Catheterization Laboratory","6 (2007-2012)",11.16667,"OR","Conditional logistic regression","General","HA","adult"
"Evans et al. (2017)","STEMI","y","O3","1",1.36,0.92,2.01,NA,NA,19.9,"ppb","USA","America","URMC Cardiac Catheterization Laboratory","6 (2007-2012)",11.16667,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","PM2.5","0",1.006,0.9914,1.0186,NA,NA,27.5,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","PM10","0-1",1.0097,0.9971,1.0225,NA,NA,33.1,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","NO2","0-13",1.0173,0.9997,1.0352,NA,NA,26.6,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","O3","0",1.0067,0.9777,1.0364,NA,NA,50.8,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","O3","0-2",1.0049,0.9678,1.0435,NA,NA,50.8,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","SO2","0-3",1.0202,1.0024,1.0384,NA,NA,4.2,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Fang et al. (2024)","Acute ischemic stroke","y","PM2.5","0",1.009,0.9992,1.0189,NA,NA,27.5,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","PM10","0-1",1.0251,1.0122,1.0409,NA,NA,33.1,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","NO2","0-13",1.0321,1.0163,1.0461,NA,NA,26.6,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","O3","0",1.0208,0.9971,1.0451,NA,NA,50.8,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","O3","0-2",1.0275,0.9965,1.0595,NA,NA,50.8,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Fang et al. (2024)","Acute ischemic stroke","y","SO2","0-3",1.0264,1.0122,1.0409,NA,NA,4.2,"μg/m3","China","Asia","Shanghai Stroke Service System Database","5 (2017-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Gardner et al. (2014)","STEMI","y","PM2.5","1",1.09,0.9,1.32,NA,NA,7.1,"μg/m3","USA","America","URMC Cardiac Catheterization Laboratory","4 (2007-2010)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Gardner et al. (2014)","STEMI","y","PM2.5","1",1.37,1.07,1.75,NA,NA,7.1,"μg/m3","USA","America","URMC Cardiac Catheterization Laboratory","4 (2007-2010)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Jiang et al. (2023)","Angina pectoris","y (combined)","PM2.5","0-12",NA,NA,NA,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Jiang et al. (2023)","Unstable angina","fixed-effects","PM2.5","0-12",1.0129,1.0076,1.0182,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Jiang et al. (2023)","Stable angina","fixed-effects","PM2.5","0-12",1.0159,1.007,1.0249,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Jiang et al. (2023)","Angina pectoris","y (combined)","PM2.5","0-12",NA,NA,NA,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Jiang et al. (2023)","Unstable angina","fixed-effects","PM2.5","0-12",1.0131,1.0079,1.0183,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Jiang et al. (2023)","Stable angina","fixed-effects","PM2.5","0-12",1.0171,1.0067,1.0277,NA,NA,32.4,"μg/m3","China","Asia","CCA Database","7 (2015-2021)",NA,"OR","Conditional logistic regression","General","HA","elderly"
"Li, J. et al. (2019)","STEMI","y","PM10","0-24",1.0193,0.9763,1.0656,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Li, J. et al. (2019)","STEMI","y","PM2.5","0-24",1.0129,0.9505,1.077,NA,NA,10,"μg/m3","China","Asia","First and Third People's Hospital of Yancheng City","4 (2015-2018)",NA,"OR","Conditional logistic regression","General","EDV","adult"
