fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,1-24,1.0316,0.987,1.0781,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03111099503,0.02252180411,0.01969050318,0.0142543064
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,13-18,1.0292,0.9891,1.0709,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02878180143,0.02027021854,0.01821633002,0.01282925224
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,1-6,1.0263,0.9866,1.0677,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02596010167,0.02015239602,0.01643044409,0.01275468102
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,19-24,1.0101,0.9707,1.0511,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01004933585,0.02029975845,0.006360339147,0.01284794838
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,7-12,1.0367,0.9967,1.0782,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03604259135,0.02005062272,0.02281176668,0.01269026754
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,0,1.0137,0.9772,1.0515,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01360700341,0.01869429994,0.01030833591,0.01416234844
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,1,1.0205,0.9837,1.0586,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02029270327,0.01871979258,0.01537326005,0.01418166104
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,2,1.0255,0.9886,1.0638,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02518029853,0.01870226567,0.01907598374,0.01416838309
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,3,1.0312,0.994,1.0697,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03072317264,0.01872354787,0.02327513079,0.01418450596
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,4,1.0337,0.9965,1.0723,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03314459859,0.01870204428,0.02510954439,0.01416821536
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,5,1.0354,0.9983,1.0739,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03478782549,0.01862202258,0.02635441325,0.01410759287
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,6,1.0369,0.9997,1.0755,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03623549258,0.01864431498,0.02745113074,0.01412448105
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,1-24,1.0298,0.9872,1.0742,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02936460863,0.02154561845,0.02224591563,0.01632243822
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,13-18,1.0225,0.9836,1.063,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02225060893,0.01980384388,0.01685652192,0.01500291203
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,1-6,1.034,0.9951,1.0744,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03343477609,0.01955979862,0.02532937582,0.01481802926
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,19-24,1.0011,0.963,1.0406,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.001099395443,0.01977023905,0.0008328753358,0.01497745382
