"","fa_year","disease","general","exposure","mean_hourly","unit_original","mean_temp","mean_adjusted","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","continent","country","cohort","fu","n","population","incidence","male_pct","Molecular.weight","Type.of.ES","Statistical.method","Population","Outcome","RoB","Note","log.EE","log.SE","alog.EE","alog.SE"
"70","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","O3",17,"μg/m3",NA,17,"2-6",0.812,0.594,1.111,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.208254938820459,0.15972869139719,-0.0548039312685418,0.0420338661571553
"71","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","O3",17,"μg/m3",NA,17,"7-12",1.086,0.842,1.4,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0825012215117438,0.129705995245159,0.0217108477662484,0.0341331566434629
"72","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","O3",17,"μg/m3",NA,17,"13-24",1.125,0.723,1.752,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.117783035656383,0.225791849320809,0.0309955356990483,0.0594189077160024
"73","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"1",1.146,0.972,1.352,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.136277618292548,0.0841797071792016,0.0484973730578462,0.0299571911669757
"74","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"2-6",0.931,0.743,1.166,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0714960017050699,0.114958755661398,-0.0254434169768932,0.0409105892033443
"75","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"7-12",1.044,0.847,1.286,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.043059489460447,0.106528369935079,0.0153236617296964,0.0379104519341919
"76","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"13-24",1.083,0.814,1.441,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0797349680188535,0.14569699744821,0.0283754334586667,0.0518494652840604
"77","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"1",1.104,0.953,1.279,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0989399478549036,0.0750558413073063,0.0634230434967331,0.0481127187867348
"78","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"2-6",0.992,0.815,1.207,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.00803217169726427,0.100179874453232,-0.00514882801106684,0.0642178682392512
"79","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"7-12",1.036,0.844,1.271,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0353671438372913,0.104440504233035,0.0226712460495457,0.0669490411750224
"80","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"13-24",1.08,0.841,1.387,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0769610411361284,0.127629275597419,0.0493340007282874,0.0818136382034739
"81","Cheng et al. (2021b)","Acute pharyngitis","fixed-effects","NO2",4,"μg/m3",NA,4,"1",0.571,0.281,1.159,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",326,"444412",0.0002445178498,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.560366069326127,0.361468921940308,-0.311314482958959,0.200816067744615
