"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0",0.9978,0.9583,1.0391,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","1",0.9862,0.9443,1.03,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","2",0.9852,0.9426,1.0298,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-12",1.0024,0.9541,1.0531,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-2",0.9922,0.9508,1.0354,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-24",0.9957,0.9396,1.055,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-3",0.9892,0.9463,1.0339,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-4",0.9899,0.9463,1.0356,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-8",1.0023,0.9554,1.0514,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0",1.0114,0.957,1.069,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","1",1.0204,0.9646,1.0795,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","2",1.0326,0.9764,1.092,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-12",1.0491,0.9802,1.1229,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-2",1.024,0.9679,1.0833,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-24",1.0799,1.0006,1.1655,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-3",1.0286,0.9703,1.0904,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-4",1.0288,0.9684,1.093,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0-8",1.063,0.9936,1.1371,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","0",1.0138,0.9652,1.0648,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","1",1.0258,0.9764,1.0778,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","2",1.0105,0.9608,1.0627,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-12",1.0436,0.9828,1.1082,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-2",1.0188,0.968,1.0722,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-24",1.0661,0.9982,1.1386,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-3",1.015,0.9628,1.07,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","male"
